term,module,definition
EDA,Module 05 - EDA.docx,"Visualizing data is a crucial aspect of EDA, as it allows for a more intuitive understanding of the data's structure and relationships. Some useful plotting techniques include Here are some key reasons why storytelling with data is important Here are some examples of how storytelling with data can be used"
ESS (Explained Sum of Squares),"Module 08 - R-Squared, R, r, TSS, ESS, and RSS.docx",Measures the variability in the dependent variable that is explained by the independent variable(s). It's the sum of the squared differences between the predicted values and the mean of the dependent variable.
ETS,Module 13 - Statsmodels Time Series Complete.docx,"ETS decomposition is a time series analysis method that decomposes a time series into its error, trend, and seasonality components. It is used to understand the underlying patterns and dynamics of a time series and can be helpful for forecasting and anomaly detection."
EWMA,Module 13 - Statsmodels Time Series Complete.docx,EWMA stands for Exponentially Weighted Moving Average. It's a way to smooth out data by giving more weight to recent observations and less weight to older observations. This makes it particularly useful for analyzing time series data where the most recent data points are often the most relevant.
Early Probability,Module 03 - Probability.docx,The development of probability theory from its early roots in gambling to its modern applications in various fields.
Economics,Module 12 - Gradient Descent and Backpropagation.docx,Analyzing marginal costs and revenues.
Education,Module 05 - EDA.docx,"An educator might use storytelling to present student performance data to parents, highlighting areas of improvement and identifying areas where additional support might be needed."
Effect Size and Statistical Power,Module 04 - Effect Size and Statistical Power.docx,Let’s get this done. Here are the explanations and definitions for the terms and concepts presented in the provided document
Effect Size and Statistical Power,Module 04 - Effect Size and Statistical Power.docx, Definitions and Explanations of Terms and Concepts Effect Size Statistical Power Cohen's d Odds Ratio Relative Risk Ratio Pearson's Correlation Type II Error Sample Size Significance Level (Alpha) Power Analysis t-Test 
Efficiency,Module 12 - Basic Artificial Neural Net (ANN).docx,Biases can improve the learning efficiency of the network by allowing for faster convergence during training.
Efficiency,Module 12 - Gradient Descent and Backpropagation.docx,"It provides a quick and easy way to find derivatives without having to use the limit definition of a derivative. Training on n-grams can be computationally efficient, especially for smaller datasets. Adam often converges faster than standard gradient descent, especially in complex or noisy optimization landscapes."
Efficient Computations,Module 12 - Basic Artificial Neural Net (ANN).docx,"PyTorch tensors are optimized for efficient numerical computation. They provide a wide range of built-in functions for tensor manipulation, linear algebra, and other mathematical operations commonly used in deep learning."
Embedding Layer,Module 12 - Gradient Descent and Backpropagation.docx,The embedding layer converts each word into a dense vector representation. These vectors capture some semantic information about the words.
Endog(enous),Module 08 - Coefficients and Metrics.docx,Similar to the dependent variable
Engineering,Module 12 - Gradient Descent and Backpropagation.docx,Optimizing designs and analyzing systems.
Enhances understanding and retention,Module 05 - EDA.docx,"Stories are easier to remember than isolated facts and figures. By framing data insights in a narrative, people are more likely to understand and retain the information."
Error Matrix,Module 11 - Confusion Matrix Binary.docx,Another name for a confusion matrix.
Error Term,Module 12 - Basic Artificial Neural Net (ANN).docx,(y_i - ŷ_i) represents the error between the target output and the predicted output for the i-th example.
Error Term,Module 13 - Statsmodels Time Series Complete.docx,The model also includes an error term to account for random fluctuations and unpredictable factors.
Escaping Local Minima,Module 12 - Gradient Descent and Backpropagation.docx,"The accumulated velocity can help the optimizer ""power through"" shallow local minima and reach a better solution."
Estimate the sampling distribution,Module 09 - Feature Selection.docx,The distribution of the calculated statistics across all the resampled datasets approximates the sampling distribution of the statistic.
Estimating pi,Module 09 - Feature Selection.docx,Randomly generate points within a square and count how many fall inside a circle inscribed within the square. The ratio of points inside the circle to the total points can be used to estimate pi.
Estimating probabilities,Module 09 - Feature Selection.docx,"Simulate events with known probabilities (e.g., coin flips, dice rolls) to estimate the likelihood of specific outcomes."
Ethics and Human Bias,Module 01 - Introduction.docx,This section highlights the ethical considerations and potential biases that can arise in data science projects.
Euclid Elements,Module 01 - Introduction.docx,"The foundational text of geometry, introducing basic concepts like points, lines, planes, and angles."
Euler's Number (e),Module 10 - Logarithms.docx,"Approximately 2.71828. It's used in calculations involving compound interest, exponential growth, and the natural logarithm."
Example,Module 12 - Gradient Descent and Backpropagation.docx,y = x² as x approaches 2 y = x² y = x²
Example,Module 12 - Basic Artificial Neural Net (ANN).docx,"In this case, X has two samples, each with four features. These features could represent anything, such as the measurements of different attributes of an object or the pixel values of an image."
Exog(enous),Module 08 - Coefficients and Metrics.docx,Similar to the independent variable
Expected Error,Module 11 - Bias Variance Tradeoff.docx,"The expected error of a model on unseen data can be decomposed into three components: bias squared, variance, and irreducible error."
Expected Value,Module 01 - Introduction.docx,The average value that is expected to be obtained in a random experiment over a large number of trials.
Explanation,Module 04 - Effect Size and Statistical Power.docx,"Effect size helps researchers understand the practical significance of their findings, going beyond just statistical significance. It indicates how much difference or relationship exists between groups or variables. For example, Cohen's d is used to measure the standardized difference between two means, while Pearson's correlation coefficient measures the strength and direction of a linear relationship between two variables. In other words, it's the likelihood of detecting a real effect if one exists. A higher statistical power means a lower chance of making a Type II error (failing to reject a false null hypothesis). Power is influenced by factors like sample size, effect size, and significance level. It tells us how many standard deviations apart two means are. A larger d value indicates a greater difference between the groups. It represents the odds of an outcome occurring in an exposed group compared to the odds of the same outcome occurring in an unexposed group. An odds ratio of 1 indicates no association, while values greater than 1 suggest a positive association and values less than 1 suggest a negative association. It's used to assess the risk of an outcome in one group compared to another. A relative risk ratio of 1 means no difference in risk between groups. Values greater than 1 indicate increased risk in the exposed group, while values less than 1 indicate decreased risk. It ranges from -1 to +1, where -1 indicates a perfect negative linear relationship, +1 indicates a perfect positive linear relationship, and 0 indicates no linear relationship. [cite: 4] It means failing to detect a real effect when one exists. The probability of a Type II error is denoted by the Greek letter beta (β). A larger sample size generally increases the power of a statistical test and improves the precision of estimates. It's the threshold set by researchers to determine statistical significance. A commonly used alpha level is 0.05, meaning there's a 5% chance of rejecting the null hypothesis when it's actually true. It helps researchers design studies with adequate power to avoid Type II errors. Power analysis can also be used to calculate the power of a test given the sample size, effect size, and significance level. It determines if there's a statistically significant difference between the means of two independent groups or between paired observations."
Exploration vs. Exploitation,Module 12 - Gradient Descent and Backpropagation.docx,The agent needs to balance exploring new actions and exploiting actions that are known to be good.
F statistic,Module 08 - Coefficients and Metrics.docx,a measure of how significant the fit is
F1 Score,Module 11 - Precision Recall.docx,The harmonic mean of precision and recall. It provides a single metric that balances both precision and recall.
F1 Score,Module 11 - Confusion Matrix Binary.docx,The harmonic mean of precision and recall. It provides a single metric that balances both precision and recall.
F1-Score,Module 11 - Confusion Matrix Multilabel.docx,"The harmonic mean of precision and recall, providing a balanced measure of a model's performance for a specific class."
FN (False Negative),Module 11 - Confusion Matrix Multilabel.docx,The number of instances incorrectly predicted as not belonging to a specific class.
FP (False Positive),Module 11 - Confusion Matrix Multilabel.docx,The number of instances incorrectly predicted as belonging to a specific class.
False Negative (FN),Module 11 - Confusion Matrix Binary.docx,An instance where the model incorrectly predicts the negative class when the actual class is positive.
False Positive (FP),Module 11 - Confusion Matrix Binary.docx,An instance where the model incorrectly predicts the positive class when the actual class is negative.
Faster Convergence,Module 12 - Gradient Descent and Backpropagation.docx,"Momentum can help the optimization process converge faster, especially in situations with noisy gradients or oscillating updates."
Feature Extraction,Module 12 - Gradient Descent and Backpropagation.docx,"Each hidden layer learns to extract relevant features from the input sequence. In the context of word prediction, these features could be things like:"
Feature Importance,Module 12 - Basic Artificial Neural Net (ANN).docx,The magnitude of the weights can indicate the importance of different features. Larger weights suggest that the corresponding features have a stronger influence on the network's output.
Feature Importance,Module 12 - Gradient Descent and Backpropagation.docx,Highly activated neurons indicate that the corresponding input features are important for the task the network is learning.
Feature Selection,Module 09 - Feature Selection.docx,"The document primarily explores feature selection techniques using the Titanic dataset. It aims to identify the most relevant features for predicting survival outcomes. Let's break down some of the key terms and concepts Example Example The impact on feature selection Important Note Benefits In the context of the Titanic example Here are the basic steps involved in cross-validation Benefits of using cross-validation Bootstrapping is a statistical method that involves repeatedly resampling data from a given dataset to estimate the sampling distribution of a statistic. This technique is particularly useful when dealing with small sample sizes or when the underlying distribution of the data is unknown. Here's how it works Bootstrapping can be used to construct confidence intervals, which provide a range of plausible values for a population parameter. Here's how Bootstrapping can also be used to estimate p-values, which indicate the strength of evidence against a null hypothesis. Here's a simplified approach Here are the general steps involved in a Monte Carlo simulation"
Feature Selection,Module 09 - Feature Selection.docx,"Exploratory Data Analysis (EDA) EDA is used to understand and summarize the main characteristics of a dataset. In this context, EDA is used to find the features that are most useful in predicting the dependent variable (survived). Feature Selection Selecting the most relevant features for a machine-learning model. It aims to improve model performance. Filter Methods Uses statistical metrics to rank features. Examples include correlation, chi-square, and ANOVA. Wrapper Methods Use algorithms to select optimal features. Examples include forward selection, backward selection, and stepwise selection. Embedded Methods Selects features during the model-building process. Examples include Lasso, Ridge, and Elastic Net. Correlation Measures the linear relationship between two variables. It helps in identifying features that are strongly related to the target variable. Chi-Square Test Used to determine relationships between categorical features. A higher chi-square statistic indicates a stronger association. ANOVA (Analysis of Variance) A statistical test used to compare means across two or more groups. It is used in feature selection to identify features that have significantly different means between groups. Information Gain Measures how much information a feature provides about the target variable. It is often used in decision tree-based models. Mutual Information Measures the mutual dependence between two variables. It can capture both linear and non-linear relationships. Variance Inflation Factor (VIF) Measures how much a predictor is influenced by the presence of other predictors. It helps in identifying multicollinearity (high correlation between predictors). Scalers Used to transform features to a specific range or distribution. Examples include MinMaxScaler, StandardScaler, and RobustScaler. Outliers Data points that differ significantly from other observations. They can be handled by dropping, marking, or rescaling. One-Hot Encoding Transforms categorical features into numerical representations. It is used to ensure that categorical data is compatible with machine learning algorithms. Label Encoder Transforms categorical labels into numerical representations. It is used for the target variable in classification tasks. Confusion Matrix A table used to evaluate the performance of a classification model. It provides insights into true positives, true negatives, false positives, and false negatives. Overfitting and Underfitting in Feature Selection Overfitting Overfitting happens when a model learns the training data too well, including the noise and outliers. This makes the model perform very well on the training data but poorly on unseen data. In feature selection, overfitting can occur when you select too many features, especially irrelevant ones. The model becomes overly complex and starts to fit the specific nuances of the training set that don't generalize to new data. Imagine using the Titanic dataset and including features like 'Passenger Name' or 'Ticket Number'. These features might have unique variations in the training set that don't hold any predictive power on new data. The model might wrongly associate specific names or ticket numbers with survival, leading to overfitting. Underfitting Underfitting occurs when the model is too simple to capture the underlying patterns in the data. This happens when you select too few features, or the selected features don't have enough predictive power. The model fails to adequately learn the relationships between the features and the target variable, resulting in poor performance on both training and unseen data. If you only select 'Passenger Class' as a feature for predicting survival on the Titanic, you might miss out on crucial information like 'Sex' or 'Age', which significantly influenced survival rates. This oversimplification can lead to underfitting. The Goal The goal of feature selection is to find the right balance – selecting enough relevant features to capture the important patterns in the data without including irrelevant features that lead to overfitting. Techniques like those discussed in the Titanic example (correlation, chi-square, mutual information, etc.) help identify the most informative features and achieve that balance. Regularization is a technique used to prevent overfitting in machine learning models. It does this by adding a penalty to the complexity of the model. Regularization In terms of feature selection, regularization essentially forces the model to reduce the influence of less important features. It can even shrink the coefficients of some features to zero, effectively removing them from the model. Regularization helps in identifying the most important features. It simplifies the model and improves its ability to generalize to new data. It can make the model more stable and less sensitive to small changes in the data. Lasso (L1) Regularization Adds a penalty to the sum of the absolute values of the coefficients. It can shrink some coefficients to zero, effectively performing feature selection. Ridge (L2) Regularization Adds a penalty to the sum of the squared values of the coefficients. It forces the coefficients of less important features to be small but not necessarily zero. The choice between Lasso and Ridge depends on the specific dataset and problem. Regularization is just one of many techniques used for feature selection. It is often used with other methods to identify the most relevant features. Elastic Net Elastic Net is a regularization and variable selection technique that combines the penalties of Lasso and Ridge regression. It's particularly useful when dealing with datasets that have a large number of correlated features. Handles correlated features better than Lasso. Can select more features than Lasso, especially when the number of predictors is greater than the number of observations. Provides a balance between feature selection and coefficient shrinkage. While the document doesn't explicitly apply Elastic Net, it could be used to explore feature selection and potentially improve model performance. It might be particularly helpful if there were strong correlations between certain features (e.g., age and passenger class). Cross-validation is a technique used in machine learning to evaluate the performance of a model on unseen data. It helps to understand how well the model will generalize to new data. Cross Validation Provides a more reliable estimate of model performance. Helps to identify overfitting or underfitting. Can be used with small datasets. Bootstrapping Confidence Intervals P-values Key Advantages of Bootstrapping Monte Carlo Simulation  Monte Carlo Simulation A Monte Carlo simulation is a computational technique that uses random sampling to conduct statistical analysis and solve problems. It is based on the idea of repeatedly generating random inputs for a model or system and observing the outputs. By analyzing the distribution of outputs, one can gain insights into the behavior of the system and make predictions or estimates. Examples in Statistical Analysis "
Features,Module 12 - Basic Artificial Neural Net (ANN).docx,"X contains the input features that the neural network will use to learn and make predictions. Each row in X represents a different sample or data point, and each column represents a different feature."
Few assumptions,Module 09 - Feature Selection.docx,Bootstrapping makes fewer assumptions about the underlying data distribution compared to traditional statistical methods.
Finance,Module 12 - Gradient Descent and Backpropagation.docx,"Portfolio optimization, trading"
Finance,Module 10 - Logarithms.docx,"Compound interest calculations rely heavily on logarithms. Additionally, logarithmic transformations help analyze stock price movements and assess investment risks."
Finance,Module 03 - Distributions.docx,Modeling the size of insurance claims or the time until default on a loan.
Find the percentiles,Module 09 - Feature Selection.docx,"Identify the appropriate percentiles from the distribution of the calculated statistics. For a 95% confidence interval, you would typically find the 2.5th and 97.5th percentiles."
Finding Optimal Solutions,Module 12 - Gradient Descent and Backpropagation.docx,"Convergence indicates that the algorithm has found a set of parameters that (at least locally) minimize the cost function, leading to a well-trained model."
First Hidden Layer,Module 12 - Gradient Descent and Backpropagation.docx,"This layer might focus on extracting basic features like short-term dependencies, part-of-speech tags, or simple word combinations."
First Layer,Module 12 - Gradient Descent and Backpropagation.docx,"You might focus on individual words, sentences, and basic plot points. Identifies ""the"" as an article, ""quick"" as an adjective, ""brown"" as another adjective."
Flexibility,Module 03 - Distributions.docx,The Gamma distribution is very flexible and can take on a variety of shapes depending on the values of its parameters. This makes it suitable for modeling a wide range of phenomena. The Beta distribution is very flexible and can take on a variety of shapes depending on the values of its parameters. This makes it suitable for modeling a wide range of phenomena.
Flexibility,Module 12 - Basic Artificial Neural Net (ANN).docx,"Biases provide additional flexibility to the neural network. They allow the activation function to shift, enabling the neuron to activate even when the weighted sum of inputs is zero or negative."
For example,Module 12 - Basic Artificial Neural Net (ANN).docx,self.weights3 += self.learning_rate * self.hidden_layer2.T.dot(d_output) updates the weights connecting the second hidden layer to the output layer.
Forecasting,Module 13 - Statsmodels Time Series Complete.docx,Predicting future values based on historical trends.
Forward Pass,Module 12 - Basic Artificial Neural Net (ANN).docx,The input data is passed through the network to generate predictions.
Forward Pass,Module 12 - Gradient Descent and Backpropagation.docx,"The input data flows through the network, layer by layer, until it reaches the output layer. Each neuron performs a weighted sum of its inputs, adds a bias, and applies an activation function. outputs = net(X) calculates the network's predictions."
Forward Pass / Signal Propagation,Module 12 - Gradient Descent and Backpropagation.docx,"In both biological and artificial neurons, there's a concept of a ""forward pass"" where information flows from inputs to outputs. In biological neurons, this involves the transmission of electrical signals through dendrites, soma, and axons. In artificial neurons, it involves the weighted sum of inputs and the application of an activation function."
Foundation,Module 12 - Gradient Descent and Backpropagation.docx,"It's a building block for differentiating more complex functions, especially when combined with other rules like the chain rule and the product rule."
Francis Galton (1822-1911),Module 04 - Hypothesis Testing.docx,"Developed concepts of regression and correlation, and his work influenced the field of eugenics."
Frequentist approach,Module 03 - Miscellaneous.docx,"You would flip the coin a large number of times (e.g., 1000) and count the number of times it lands heads up. The proportion of heads in your experiment would be your estimate of the probability of the coin landing heads up."
Frequentists,Module 03 - Miscellaneous.docx,View probability as the long-run frequency of an event occurring. They estimate probabilities based on repeated observations or experiments. Generally avoid using prior information or subjective beliefs in their analysis. They rely solely on the observed data to draw conclusions. Use hypothesis testing and confidence intervals to draw inferences about population parameters. They focus on rejecting or failing to reject a null hypothesis based on the observed data.
Function must be a 1,Module 12 - Gradient Descent and Backpropagation.docx,1 mapping
GLM vs OLS,Module 10 - GLM vs OLS.docx, Fundamentals Key Statistics Libraries 
GLMs,Module 10 - GLMs.docx,Fundamentals Regression and Modeling Link Functions Families Other Important Concepts 
Game Playing,Module 12 - Gradient Descent and Backpropagation.docx,"AlphaGo, AlphaZero (chess, Go), game AI"
Gamma,Module 10 - GLMs.docx,"Used for continuous positive data that is skewed (e.g., income, waiting times)."
Gamma Distribution,Module 10 - Logarithms.docx,Used for time-to-failure or reliability analysis.
"Garbage In, Garbage Out (GIGO)",Module 02 - Data.docx,The quality of the output depends on the quality of the input data.
Gaussian (Normal),Module 10 - GLMs.docx,Used for continuous data that is normally distributed.
Generalized Linear Models (GLMs),Module 10 - GLMs.docx,GLMs are a flexible generalization of ordinary linear regression that allows for response variables that have error distribution models other than a normal distribution.
Generalized Linear Models (GLMs),Module 10 - GLM vs OLS.docx,GLMs are a flexible generalization of ordinary linear regression that allows for response variables that have error distribution models other than a normal distribution.
Generalized Linear Models (GLMs),Module 10 - Logarithms.docx,A flexible generalization of ordinary linear regression that allows for response variables that have error distribution models other than a normal distribution.
Generate random inputs,Module 09 - Feature Selection.docx,Draw random samples from the specified probability distributions for each input variable.
Global Minimum,Module 10 - Logarithms.docx,The absolute lowest point in the entire function.
Global Minimum,Module 10 - GLMs.docx,The absolute lowest point in the entire function.
Global Optimization,Module 12 - Gradient Descent and Backpropagation.docx,"Backpropagation and gradient descent in artificial neural networks aim to find a global minimum of the cost function. In biological neurons, learning is often more local and distributed, focusing on adapting to specific stimuli and tasks."
Goal,Module 12 - Basic Artificial Neural Net (ANN).docx,Training the Neural Network
Goal,Module 12 - Gradient Descent and Backpropagation.docx,"Minimize the cost function J(w, b) with respect to the weight w and bias b using gradient descent."
Goodness of Fit Test,Module 03 - Distributions.docx,To test how well a theoretical distribution fits a set of observed data.
Goodness-of-Fit Testing,Module 03 - Distributions Fitter.docx,You can use fitter to formally test how well a particular distribution fits your data.
Google's AI Specialist,Module 12 - Basic Artificial Neural Net (ANN).docx,TPUs are custom-designed processors developed by Google specifically for machine learning and AI workloads.
Gradient Calculation,Module 12 - Basic Artificial Neural Net (ANN).docx,"The term (∂/∂θ) J(θ₀, θ₁) represents the gradient of the cost function. This gradient is calculated using backpropagation, which involves the sigmoid derivative (as explained above)."
Gradient Calculation,Module 12 - Gradient Descent and Backpropagation.docx,"Deep learning relies heavily on calculating gradients (derivatives) of the loss function with respect to the model's parameters. In vanilla Python, you'd have to manually implement the backpropagation algorithm to compute these gradients, which can be complex and error-prone."
Gradient Descent,Module 12 - Basic Artificial Neural Net (ANN).docx,The gradients calculated during backpropagation are used to update the weights and biases in the direction that minimizes the error. This is typically done using an optimization algorithm like gradient descent.
Gradient Descent,Module 12 - Gradient Descent and Backpropagation.docx,"Gradient descent is an optimization algorithm used to update the weights and biases in artificial neural networks. It relies on the gradients calculated during backpropagation. While biological neurons adjust their connections based on experience, the mechanism is different from gradient descent. The gradients calculated in the backward pass are used to update the weights and biases in the direction that minimizes the cost function. This is typically done using an optimization algorithm like gradient descent."
Gradient Descent Update,Module 12 - Basic Artificial Neural Net (ANN).docx,"The gradient descent update forumula represents the gradient descent update rule. It describes how the parameters (θ_j) are adjusted based on the gradient of the cost function (J(θ₀, θ₁))."
